c_custkey,c_name,c_acctbal,c_phone,n_name,c_address,c_comment,revenue
57040,Customer#000057040,632.87,22-895-641-3466,JAPAN,Eioyzjf4pp,sits. slyly regular requests sleep alongside of the regular inst,734235.2455
143347,Customer#000143347,2557.47,14-742-935-3718,EGYPT,"1aReFYv,Kw4","ggle carefully enticing requests. final deposits use bold, bold pinto beans. ironic, idle re",721002.6947999999
60838,Customer#000060838,2454.77,12-913-494-9813,BRAZIL,64EaJ5vMAHWJlBOxJklpNc2RJiWE,need to boost against the slyly regular account,679127.3077
101998,Customer#000101998,3790.89,33-593-865-6378,UNITED KINGDOM,01c9CILnNtfOQYmZj,ress foxes wake slyly after the bold excuses. ironic platelets are furiously carefully bold theodolites,637029.5667
125341,Customer#000125341,4983.51,17-582-695-5962,GERMANY,S29ODD6bceU8QSuuEJznkNaK,arefully even depths. blithely even excuses sleep furiously. foxes use except the dependencies. ca,633508.086
25501,Customer#000025501,7725.04,15-874-808-6793,ETHIOPIA,"W556MXuoiaYCCZamJI,Rn0B4ACUGdkQ8DZ","he pending instructions wake carefully at the pinto beans. regular, final instructions along the slyly fina",620269.7848999999
115831,Customer#000115831,5098.1,16-715-386-3788,FRANCE,rFeBbEEyk dl ne7zV5fDrmiq1oK09wV7pxqCgIc,l somas sleep. furiously final deposits wake blithely regular pinto b,596423.8672
84223,Customer#000084223,528.65,33-442-824-8191,UNITED KINGDOM,nAVZCs6BaWap rrM27N 2qBnzc5WBauxbA,"slyly final deposits haggle regular, pending dependencies. pending escapades wake",594998.0238999999
54289,Customer#000054289,5583.02,20-834-292-4707,IRAN,"vXCxoCsU0Bad5JQI ,oobkZ",ely special foxes are quickly finally ironic p,585603.3918
39922,Customer#000039922,7321.11,17-147-757-8036,GERMANY,Zgy4s50l2GKN4pLDPBU8m342gIw6R,y final requests. furiously final foxes cajole blithely special platelets. f,584878.1134
6226,Customer#000006226,2230.09,33-657-701-3391,UNITED KINGDOM,"8gPu8,NPGkfyQQ0hcIYUGPIBWc,ybP5g,",ending platelets along the express deposits cajole carefully final,576783.7606
922,Customer#000000922,3869.25,17-945-916-9648,GERMANY,Az9RFaut7NkPnc5zSD2PwHgVwr4jRzq,luffily fluffy deposits. packages c,576767.5333
147946,Customer#000147946,2030.13,10-886-956-3143,ALGERIA,iANyZHjqhyy7Ajah0pTrYyhJ,ithely ironic deposits haggle blithely ironic requests. quickly regu,576455.132
115640,Customer#000115640,6436.1,11-411-543-4901,ARGENTINA,Vtgfia9qI 7EpHgecU1X,ost slyly along the patterns; pinto be,569341.1933
73606,Customer#000073606,1785.67,22-437-653-6966,JAPAN,xuR0Tro5yChDfOCrjkd2ol,he furiously regular ideas. slowly,568656.8578
110246,Customer#000110246,7763.35,31-943-426-9837,VIETNAM,7KzflgX MDOq7sOkI,egular deposits serve blithely above the fl,566842.9815
142549,Customer#000142549,5085.99,19-955-562-2398,INDONESIA,ChqEoK43OysjdHbtKCp6dKqjNyvvi9,sleep pending courts. ironic deposits against the carefully unusual platelets cajole carefully express accounts.,563537.2368000001
146149,Customer#000146149,1791.55,29-744-164-6487,ROMANIA,s87fvzFQpU,of the slyly silent accounts. quickly final accounts across the,557254.9864999999
52528,Customer#000052528,551.79,11-208-192-3205,ARGENTINA,NFztyTOR10UOJ,deposits hinder. blithely pending asymptotes breach slyly regular re,556397.3509
23431,Customer#000023431,3381.86,29-915-458-2654,ROMANIA,HgiV0phqhaIa9aydNoIlb,"nusual, even instructions: furiously stealthy n",554269.5360000001
